"Career & Technical Education"
4/3/2023

Year,Level,Division,Description,"Year Count"
"2021 - 2022",DIV,"Louisa County Public Schools","NOCTI Assessments",10
"2021 - 2022",DIV,"Louisa County Public Schools","State Licensures",27
"2021 - 2022",DIV,"Louisa County Public Schools","Students Earning One or More Credentials",551
"2021 - 2022",DIV,"Louisa County Public Schools","Total Credentials Earned",624
"2021 - 2022",DIV,"Louisa County Public Schools","Workplace Readiness",104
"2021 - 2022",DIV,"Lunenburg County Public Schools","Armed Services Vocational Aptitude Battery Examination",9
"2021 - 2022",DIV,"Lunenburg County Public Schools","CTE Completers",55
"2021 - 2022",DIV,"Lunenburg County Public Schools","Industry Certification",241
"2021 - 2022",DIV,"Lunenburg County Public Schools","State Licensures",3
"2021 - 2022",DIV,"Lunenburg County Public Schools","Students Earning One or More Credentials",188
"2021 - 2022",DIV,"Lunenburg County Public Schools","Total Credentials Earned",244
"2021 - 2022",DIV,"Lynchburg City Public Schools","CTE Completers",82
"2021 - 2022",DIV,"Lynchburg City Public Schools","Industry Certification",575
"2021 - 2022",DIV,"Lynchburg City Public Schools","NOCTI Assessments",60
"2021 - 2022",DIV,"Lynchburg City Public Schools","State Licensures",24
"2021 - 2022",DIV,"Lynchburg City Public Schools","Students Earning One or More Credentials",641
"2021 - 2022",DIV,"Lynchburg City Public Schools","Total Credentials Earned",683
"2021 - 2022",DIV,"Lynchburg City Public Schools","Workplace Readiness",24
"2021 - 2022",DIV,"Madison County Public Schools","CTE Completers",53
"2021 - 2022",DIV,"Madison County Public Schools","Industry Certification",202
"2021 - 2022",DIV,"Madison County Public Schools","State Licensures",13
"2021 - 2022",DIV,"Madison County Public Schools","Students Earning One or More Credentials",196
"2021 - 2022",DIV,"Madison County Public Schools","Total Credentials Earned",215
"2021 - 2022",DIV,"Manassas City Public Schools","CTE Completers",347
"2021 - 2022",DIV,"Manassas City Public Schools","Industry Certification",324
"2021 - 2022",DIV,"Manassas City Public Schools","State Licensures",8
"2021 - 2022",DIV,"Manassas City Public Schools","Students Earning One or More Credentials",774
"2021 - 2022",DIV,"Manassas City Public Schools","Total Credentials Earned",911
"2021 - 2022",DIV,"Manassas City Public Schools","Workplace Readiness",579
"2021 - 2022",DIV,"Manassas Park City Public Schools","CTE Completers",113
"2021 - 2022",DIV,"Manassas Park City Public Schools","Industry Certification",242
"2021 - 2022",DIV,"Manassas Park City Public Schools","Students Earning One or More Credentials",240
"2021 - 2022",DIV,"Manassas Park City Public Schools","Total Credentials Earned",242
"2021 - 2022",DIV,"Martinsville City Public Schools","CTE Completers",115
"2021 - 2022",DIV,"Martinsville City Public Schools","Students Earning One or More Credentials",180
"2021 - 2022",DIV,"Martinsville City Public Schools","Total Credentials Earned",180
"2021 - 2022",DIV,"Martinsville City Public Schools","Workplace Readiness",180
"2021 - 2022",DIV,"Mathews County Public Schools","CTE Completers",21
"2021 - 2022",DIV,"Mathews County Public Schools","Students Earning One or More Credentials",39
"2021 - 2022",DIV,"Mathews County Public Schools","Total Credentials Earned",39
"2021 - 2022",DIV,"Mathews County Public Schools","Workplace Readiness",39
"2021 - 2022",DIV,"Mecklenburg County Public Schools","CTE Completers",216
"2021 - 2022",DIV,"Mecklenburg County Public Schools","Industry Certification",649
"2021 - 2022",DIV,"Mecklenburg County Public Schools","Students Earning One or More Credentials",463
"2021 - 2022",DIV,"Mecklenburg County Public Schools","Total Credentials Earned",649
"2021 - 2022",DIV,"Middlesex County Public Schools","CTE Completers",31
"2021 - 2022",DIV,"Middlesex County Public Schools","Students Earning One or More Credentials",67
"2021 - 2022",DIV,"Middlesex County Public Schools","Total Credentials Earned",67
"2021 - 2022",DIV,"Middlesex County Public Schools","Workplace Readiness",67
"2021 - 2022",DIV,"Montgomery County Public Schools","CTE Completers",477
"2021 - 2022",DIV,"Montgomery County Public Schools","Students Earning One or More Credentials",393
"2021 - 2022",DIV,"Montgomery County Public Schools","Total Credentials Earned",393
"2021 - 2022",DIV,"Montgomery County Public Schools","Workplace Readiness",393
"2021 - 2022",DIV,"Nelson County Public Schools","CTE Completers",99
"2021 - 2022",DIV,"Nelson County Public Schools","Industry Certification",123
"2021 - 2022",DIV,"Nelson County Public Schools","State Licensures",3
"2021 - 2022",DIV,"Nelson County Public Schools","Students Earning One or More Credentials",135
"2021 - 2022",DIV,"Nelson County Public Schools","Total Credentials Earned",161
"2021 - 2022",DIV,"Nelson County Public Schools","Workplace Readiness",35
"2021 - 2022",DIV,"New Kent County Public Schools","CTE Completers",82
"2021 - 2022",DIV,"New Kent County Public Schools","Industry Certification",326
"2021 - 2022",DIV,"New Kent County Public Schools","NOCTI Assessments",5
"2021 - 2022",DIV,"New Kent County Public Schools","State Licensures",5
"2021 - 2022",DIV,"New Kent County Public Schools","Students Earning One or More Credentials",344
"2021 - 2022",DIV,"New Kent County Public Schools","Total Credentials Earned",407
"2021 - 2022",DIV,"New Kent County Public Schools","Workplace Readiness",71
"2021 - 2022",DIV,"Newport News City Public Schools","Armed Services Vocational Aptitude Battery Examination",40
"2021 - 2022",DIV,"Newport News City Public Schools","CTE Completers",664
"2021 - 2022",DIV,"Newport News City Public Schools","Industry Certification",2599
"2021 - 2022",DIV,"Newport News City Public Schools","NOCTI Assessments",55
"2021 - 2022",DIV,"Newport News City Public Schools","State Licensures",29
"2021 - 2022",DIV,"Newport News City Public Schools","Students Earning One or More Credentials",2676
"2021 - 2022",DIV,"Newport News City Public Schools","Total Credentials Earned",3157
"2021 - 2022",DIV,"Newport News City Public Schools","Workplace Readiness",474
"2021 - 2022",DIV,"Norfolk City Public Schools","Armed Services Vocational Aptitude Battery Examination",96
"2021 - 2022",DIV,"Norfolk City Public Schools","CTE Completers",949
"2021 - 2022",DIV,"Norfolk City Public Schools","Industry Certification",2330
"2021 - 2022",DIV,"Norfolk City Public Schools","NOCTI Assessments",59
"2021 - 2022",DIV,"Norfolk City Public Schools","Students Earning One or More Credentials",2048
"2021 - 2022",DIV,"Norfolk City Public Schools","Total Credentials Earned",2392
"2021 - 2022",DIV,"Norfolk City Public Schools","Workplace Readiness",3
"2021 - 2022",DIV,"Northampton County Public Schools","CTE Completers",14
"2021 - 2022",DIV,"Northampton County Public Schools","Students Earning One or More Credentials",110
"2021 - 2022",DIV,"Northampton County Public Schools","Total Credentials Earned",110
"2021 - 2022",DIV,"Northampton County Public Schools","Workplace Readiness",110
"2021 - 2022",DIV,"Northumberland County Public Schools","CTE Completers",59
"2021 - 2022",DIV,"Northumberland County Public Schools","Industry Certification",135
"2021 - 2022",DIV,"Northumberland County Public Schools","State Licensures",2
"2021 - 2022",DIV,"Northumberland County Public Schools","Students Earning One or More Credentials",96
"2021 - 2022",DIV,"Northumberland County Public Schools","Total Credentials Earned",191
"2021 - 2022",DIV,"Northumberland County Public Schools","Workplace Readiness",54
"2021 - 2022",DIV,"Norton City Public Schools","CTE Completers",42
"2021 - 2022",DIV,"Norton City Public Schools","Industry Certification",65
"2021 - 2022",DIV,"Norton City Public Schools","Students Earning One or More Credentials",60
"2021 - 2022",DIV,"Norton City Public Schools","Total Credentials Earned",65
"2021 - 2022",DIV,"Nottoway County Public Schools","CTE Completers",105
"2021 - 2022",DIV,"Nottoway County Public Schools","Industry Certification",244
"2021 - 2022",DIV,"Nottoway County Public Schools","State Licensures",4
"2021 - 2022",DIV,"Nottoway County Public Schools","Students Earning One or More Credentials",209
"2021 - 2022",DIV,"Nottoway County Public Schools","Total Credentials Earned",248
"2021 - 2022",DIV,"Orange County Public Schools","CTE Completers",237
"2021 - 2022",DIV,"Orange County Public Schools","Students Earning One or More Credentials",210
"2021 - 2022",DIV,"Orange County Public Schools","Total Credentials Earned",210
"2021 - 2022",DIV,"Orange County Public Schools","Workplace Readiness",210
"2021 - 2022",DIV,"Page County Public Schools","CTE Completers",255
"2021 - 2022",DIV,"Patrick County Public Schools","CTE Completers",128
"2021 - 2022",DIV,"Petersburg City Public Schools","CTE Completers",123
"2021 - 2022",DIV,"Petersburg City Public Schools","Industry Certification",75
"2021 - 2022",DIV,"Petersburg City Public Schools","Students Earning One or More Credentials",157
"2021 - 2022",DIV,"Petersburg City Public Schools","Total Credentials Earned",188
"2021 - 2022",DIV,"Petersburg City Public Schools","Workplace Readiness",113
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Armed Services Vocational Aptitude Battery Examination",20
"2021 - 2022",DIV,"Pittsylvania County Public Schools","CTE Completers",472
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Industry Certification",1293
"2021 - 2022",DIV,"Pittsylvania County Public Schools","NOCTI Assessments",31
"2021 - 2022",DIV,"Pittsylvania County Public Schools","State Licensures",44
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Students Earning One or More Credentials",1063
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Total Credentials Earned",1547
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Workplace Readiness",179
"2021 - 2022",DIV,"Poquoson City Public Schools","CTE Completers",14
"2021 - 2022",DIV,"Poquoson City Public Schools","Students Earning One or More Credentials",194
"2021 - 2022",DIV,"Poquoson City Public Schools","Total Credentials Earned",194
"2021 - 2022",DIV,"Poquoson City Public Schools","Workplace Readiness",194
"2021 - 2022",DIV,"Portsmouth City Public Schools","Armed Services Vocational Aptitude Battery Examination",16
"2021 - 2022",DIV,"Portsmouth City Public Schools","CTE Completers",188
"2021 - 2022",DIV,"Portsmouth City Public Schools","Industry Certification",562
"2021 - 2022",DIV,"Portsmouth City Public Schools","NOCTI Assessments",5
"2021 - 2022",DIV,"Portsmouth City Public Schools","State Licensures",19
"2021 - 2022",DIV,"Portsmouth City Public Schools","Students Earning One or More Credentials",993
"2021 - 2022",DIV,"Portsmouth City Public Schools","Total Credentials Earned",1124
"2021 - 2022",DIV,"Portsmouth City Public Schools","Workplace Readiness",538
"2021 - 2022",DIV,"Powhatan County Public Schools","CTE Completers",236
"2021 - 2022",DIV,"Powhatan County Public Schools","Students Earning One or More Credentials",33
"2021 - 2022",DIV,"Powhatan County Public Schools","Total Credentials Earned",33
"2021 - 2022",DIV,"Powhatan County Public Schools","Workplace Readiness",33
"2021 - 2022",DIV,"Prince Edward County Public Schools","CTE Completers",2
"2021 - 2022",DIV,"Prince Edward County Public Schools","Industry Certification",144
"2021 - 2022",DIV,"Prince Edward County Public Schools","Students Earning One or More Credentials",101
"2021 - 2022",DIV,"Prince Edward County Public Schools","Total Credentials Earned",144
"2021 - 2022",DIV,"Prince George County Public Schools","CTE Completers",219
"2021 - 2022",DIV,"Prince George County Public Schools","Industry Certification",636
"2021 - 2022",DIV,"Prince George County Public Schools","NOCTI Assessments",93
"2021 - 2022",DIV,"Prince George County Public Schools","State Licensures",6
"2021 - 2022",DIV,"Prince George County Public Schools","Students Earning One or More Credentials",728
"2021 - 2022",DIV,"Prince George County Public Schools","Total Credentials Earned",932
"2021 - 2022",DIV,"Prince George County Public Schools","Workplace Readiness",197
"2021 - 2022",DIV,"Prince William County Public Schools","Armed Services Vocational Aptitude Battery Examination",15
"2021 - 2022",DIV,"Prince William County Public Schools","CTE Completers",3634
"2021 - 2022",DIV,"Prince William County Public Schools","Industry Certification",3363
"2021 - 2022",DIV,"Prince William County Public Schools","State Licensures",18
"2021 - 2022",DIV,"Prince William County Public Schools","Students Earning One or More Credentials",4751
"2021 - 2022",DIV,"Prince William County Public Schools","Total Credentials Earned",5492
"2021 - 2022",DIV,"Prince William County Public Schools","Workplace Readiness",2111
"2021 - 2022",DIV,"Pulaski County Public Schools","CTE Completers",233
"2021 - 2022",DIV,"Pulaski County Public Schools","Students Earning One or More Credentials",240
"2021 - 2022",DIV,"Pulaski County Public Schools","Total Credentials Earned",240
"2021 - 2022",DIV,"Pulaski County Public Schools","Workplace Readiness",240
"2021 - 2022",DIV,"Radford City Public Schools","Students Earning One or More Credentials",102
"2021 - 2022",DIV,"Radford City Public Schools","Total Credentials Earned",102
"2021 - 2022",DIV,"Radford City Public Schools","Workplace Readiness",102
"2021 - 2022",DIV,"Rappahannock County Public Schools","CTE Completers",65
"2021 - 2022",DIV,"Rappahannock County Public Schools","Students Earning One or More Credentials",1
"2021 - 2022",DIV,"Rappahannock County Public Schools","Total Credentials Earned",1
"2021 - 2022",DIV,"Rappahannock County Public Schools","Workplace Readiness",1
"2021 - 2022",DIV,"Richmond City Public Schools","CTE Completers",510
"2021 - 2022",DIV,"Richmond City Public Schools","Industry Certification",712
"2021 - 2022",DIV,"Richmond City Public Schools","Students Earning One or More Credentials",1104
"2021 - 2022",DIV,"Richmond City Public Schools","Total Credentials Earned",1555
"2021 - 2022",DIV,"Richmond City Public Schools","Workplace Readiness",843
"2021 - 2022",DIV,"Richmond County Public Schools","CTE Completers",97
"2021 - 2022",DIV,"Richmond County Public Schools","Industry Certification",172
"2021 - 2022",DIV,"Richmond County Public Schools","State Licensures",5
"2021 - 2022",DIV,"Richmond County Public Schools","Students Earning One or More Credentials",189
"2021 - 2022",DIV,"Richmond County Public Schools","Total Credentials Earned",306
"2021 - 2022",DIV,"Richmond County Public Schools","Workplace Readiness",129
"2021 - 2022",DIV,"Roanoke City Public Schools","Armed Services Vocational Aptitude Battery Examination",22
"2021 - 2022",DIV,"Roanoke City Public Schools","CTE Completers",343
"2021 - 2022",DIV,"Roanoke City Public Schools","Industry Certification",1011
"2021 - 2022",DIV,"Roanoke City Public Schools","NOCTI Assessments",77
"2021 - 2022",DIV,"Roanoke City Public Schools","State Licensures",1
"2021 - 2022",DIV,"Roanoke City Public Schools","Students Earning One or More Credentials",1196
"2021 - 2022",DIV,"Roanoke City Public Schools","Total Credentials Earned",1659
"2021 - 2022",DIV,"Roanoke City Public Schools","Workplace Readiness",570
"2021 - 2022",DIV,"Roanoke County Public Schools","CTE Completers",661
"2021 - 2022",DIV,"Roanoke County Public Schools","Industry Certification",1223
"2021 - 2022",DIV,"Roanoke County Public Schools","State Licensures",23
"2021 - 2022",DIV,"Roanoke County Public Schools","Students Earning One or More Credentials",1305
"2021 - 2022",DIV,"Roanoke County Public Schools","Total Credentials Earned",1493
"2021 - 2022",DIV,"Roanoke County Public Schools","Workplace Readiness",247
"2021 - 2022",DIV,"Rockbridge County Public Schools","CTE Completers",126
"2021 - 2022",DIV,"Rockbridge County Public Schools","Industry Certification",400
"2021 - 2022",DIV,"Rockbridge County Public Schools","NOCTI Assessments",11
"2021 - 2022",DIV,"Rockbridge County Public Schools","State Licensures",8
"2021 - 2022",DIV,"Rockbridge County Public Schools","Students Earning One or More Credentials",330
"2021 - 2022",DIV,"Rockbridge County Public Schools","Total Credentials Earned",515
"2021 - 2022",DIV,"Rockbridge County Public Schools","Workplace Readiness",96
"2021 - 2022",DIV,"Rockingham County Public Schools","CTE Completers",461
"2021 - 2022",DIV,"Rockingham County Public Schools","Industry Certification",962
"2021 - 2022",DIV,"Rockingham County Public Schools","State Licensures",8
"2021 - 2022",DIV,"Rockingham County Public Schools","Students Earning One or More Credentials",1277
"2021 - 2022",DIV,"Rockingham County Public Schools","Total Credentials Earned",1438
"2021 - 2022",DIV,"Rockingham County Public Schools","Workplace Readiness",468
"2021 - 2022",DIV,"Russell County Public Schools","CTE Completers",177
"2021 - 2022",DIV,"Russell County Public Schools","Industry Certification",487
"2021 - 2022",DIV,"Russell County Public Schools","NOCTI Assessments",26
"2021 - 2022",DIV,"Russell County Public Schools","State Licensures",6
"2021 - 2022",DIV,"Russell County Public Schools","Students Earning One or More Credentials",480
"2021 - 2022",DIV,"Russell County Public Schools","Total Credentials Earned",732
"2021 - 2022",DIV,"Russell County Public Schools","Workplace Readiness",213
"2021 - 2022",DIV,"Salem City Public Schools","CTE Completers",106
"2021 - 2022",DIV,"Salem City Public Schools","Students Earning One or More Credentials",5
"2021 - 2022",DIV,"Salem City Public Schools","Total Credentials Earned",5
"2021 - 2022",DIV,"Salem City Public Schools","Workplace Readiness",5
"2021 - 2022",DIV,"Scott County Public Schools","CTE Completers",191
"2021 - 2022",DIV,"Scott County Public Schools","Industry Certification",296
"2021 - 2022",DIV,"Scott County Public Schools","NOCTI Assessments",4
"2021 - 2022",DIV,"Scott County Public Schools","State Licensures",15
"2021 - 2022",DIV,"Scott County Public Schools","Students Earning One or More Credentials",318
"2021 - 2022",DIV,"Scott County Public Schools","Total Credentials Earned",353
"2021 - 2022",DIV,"Scott County Public Schools","Workplace Readiness",38
"2021 - 2022",DIV,"Shenandoah County Public Schools","CTE Completers",322
"2021 - 2022",DIV,"Shenandoah County Public Schools","Industry Certification",869
"2021 - 2022",DIV,"Shenandoah County Public Schools","NOCTI Assessments",19
"2021 - 2022",DIV,"Shenandoah County Public Schools","State Licensures",16
"2021 - 2022",DIV,"Shenandoah County Public Schools","Students Earning One or More Credentials",815
"2021 - 2022",DIV,"Shenandoah County Public Schools","Total Credentials Earned",1088
"2021 - 2022",DIV,"Shenandoah County Public Schools","Workplace Readiness",184
"2021 - 2022",DIV,"Smyth County Public Schools","CTE Completers",168
"2021 - 2022",DIV,"Smyth County Public Schools","Students Earning One or More Credentials",223
"2021 - 2022",DIV,"Smyth County Public Schools","Total Credentials Earned",223
"2021 - 2022",DIV,"Smyth County Public Schools","Workplace Readiness",223
"2021 - 2022",DIV,"Southampton County Public Schools","CTE Completers",143
"2021 - 2022",DIV,"Southampton County Public Schools","Industry Certification",134
"2021 - 2022",DIV,"Southampton County Public Schools","Students Earning One or More Credentials",156
"2021 - 2022",DIV,"Southampton County Public Schools","Total Credentials Earned",162
"2021 - 2022",DIV,"Southampton County Public Schools","Workplace Readiness",28
"2021 - 2022",DIV,"Spotsylvania County Public Schools","CTE Completers",1003
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Industry Certification",3043
"2021 - 2022",DIV,"Spotsylvania County Public Schools","State Licensures",12
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Students Earning One or More Credentials",2776
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Total Credentials Earned",3387
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Workplace Readiness",332
"2021 - 2022",DIV,"Stafford County Public Schools","Armed Services Vocational Aptitude Battery Examination",128
"2021 - 2022",DIV,"Stafford County Public Schools","CTE Completers",1336
"2021 - 2022",DIV,"Stafford County Public Schools","Industry Certification",3452
"2021 - 2022",DIV,"Stafford County Public Schools","NOCTI Assessments",14
"2021 - 2022",DIV,"Stafford County Public Schools","State Licensures",48
"2021 - 2022",DIV,"Stafford County Public Schools","Students Earning One or More Credentials",3973
"2021 - 2022",DIV,"Stafford County Public Schools","Total Credentials Earned",5199
"2021 - 2022",DIV,"Stafford County Public Schools","Workplace Readiness",1685
"2021 - 2022",DIV,"Staunton City Public Schools","CTE Completers",107
"2021 - 2022",DIV,"Staunton City Public Schools","Students Earning One or More Credentials",146
"2021 - 2022",DIV,"Staunton City Public Schools","Total Credentials Earned",146
"2021 - 2022",DIV,"Staunton City Public Schools","Workplace Readiness",146
"2021 - 2022",DIV,"Suffolk City Public Schools","Armed Services Vocational Aptitude Battery Examination",20
"2021 - 2022",DIV,"Suffolk City Public Schools","CTE Completers",611
"2021 - 2022",DIV,"Suffolk City Public Schools","Industry Certification",1662
"2021 - 2022",DIV,"Suffolk City Public Schools","NOCTI Assessments",330
"2021 - 2022",DIV,"Suffolk City Public Schools","Students Earning One or More Credentials",1804
"2021 - 2022",DIV,"Suffolk City Public Schools","Total Credentials Earned",2317
"2021 - 2022",DIV,"Suffolk City Public Schools","Workplace Readiness",325
"2021 - 2022",DIV,"Surry County Public Schools","CTE Completers",48
"2021 - 2022",DIV,"Surry County Public Schools","Industry Certification",59
"2021 - 2022",DIV,"Surry County Public Schools","Students Earning One or More Credentials",106
"2021 - 2022",DIV,"Surry County Public Schools","Total Credentials Earned",136
"2021 - 2022",DIV,"Surry County Public Schools","Workplace Readiness",77
"2021 - 2022",DIV,"Sussex County Public Schools","Armed Services Vocational Aptitude Battery Examination",13
"2021 - 2022",DIV,"Sussex County Public Schools","CTE Completers",48
"2021 - 2022",DIV,"Sussex County Public Schools","Industry Certification",62
"2021 - 2022",DIV,"Sussex County Public Schools","NOCTI Assessments",3
"2021 - 2022",DIV,"Sussex County Public Schools","State Licensures",1
"2021 - 2022",DIV,"Sussex County Public Schools","Students Earning One or More Credentials",104
"2021 - 2022",DIV,"Sussex County Public Schools","Total Credentials Earned",110
"2021 - 2022",DIV,"Sussex County Public Schools","Workplace Readiness",44
"2021 - 2022",DIV,"Tazewell County Public Schools","CTE Completers",240
"2021 - 2022",DIV,"Tazewell County Public Schools","Students Earning One or More Credentials",406
"2021 - 2022",DIV,"Tazewell County Public Schools","Total Credentials Earned",406
"2021 - 2022",DIV,"Tazewell County Public Schools","Workplace Readiness",406
"2021 - 2022",DIV,"Virginia Beach City Public Schools","CTE Completers",2033
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Industry Certification",8022
"2021 - 2022",DIV,"Virginia Beach City Public Schools","NOCTI Assessments",327
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Students Earning One or More Credentials",8295
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Total Credentials Earned",11727
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Workplace Readiness",3378
"2021 - 2022",DIV,"Warren County Public Schools","CTE Completers",219
"2021 - 2022",DIV,"Warren County Public Schools","Industry Certification",526
"2021 - 2022",DIV,"Warren County Public Schools","State Licensures",21
"2021 - 2022",DIV,"Warren County Public Schools","Students Earning One or More Credentials",625
"2021 - 2022",DIV,"Warren County Public Schools","Total Credentials Earned",757
"2021 - 2022",DIV,"Warren County Public Schools","Workplace Readiness",210
"2021 - 2022",DIV,"Washington County Public Schools","CTE Completers",383
"2021 - 2022",DIV,"Washington County Public Schools","Industry Certification",627
"2021 - 2022",DIV,"Washington County Public Schools","NOCTI Assessments",108
"2021 - 2022",DIV,"Washington County Public Schools","State Licensures",12
"2021 - 2022",DIV,"Washington County Public Schools","Students Earning One or More Credentials",810
"2021 - 2022",DIV,"Washington County Public Schools","Total Credentials Earned",1248
"2021 - 2022",DIV,"Washington County Public Schools","Workplace Readiness",501
"2021 - 2022",DIV,"Waynesboro City Public Schools","CTE Completers",101
"2021 - 2022",DIV,"Waynesboro City Public Schools","Industry Certification",201
"2021 - 2022",DIV,"Waynesboro City Public Schools","NOCTI Assessments",12
"2021 - 2022",DIV,"Waynesboro City Public Schools","Students Earning One or More Credentials",208
"2021 - 2022",DIV,"Waynesboro City Public Schools","Total Credentials Earned",220
"2021 - 2022",DIV,"Waynesboro City Public Schools","Workplace Readiness",7
"2021 - 2022",DIV,"West Point Public Schools","CTE Completers",27
"2021 - 2022",DIV,"West Point Public Schools","Industry Certification",55
"2021 - 2022",DIV,"West Point Public Schools","NOCTI Assessments",3
"2021 - 2022",DIV,"West Point Public Schools","State Licensures",1
"2021 - 2022",DIV,"West Point Public Schools","Students Earning One or More Credentials",56
"2021 - 2022",DIV,"West Point Public Schools","Total Credentials Earned",62
"2021 - 2022",DIV,"West Point Public Schools","Workplace Readiness",3
"2021 - 2022",DIV,"Westmoreland County Public Schools","CTE Completers",31
"2021 - 2022",DIV,"Westmoreland County Public Schools","Students Earning One or More Credentials",66
"2021 - 2022",DIV,"Westmoreland County Public Schools","Total Credentials Earned",66
"2021 - 2022",DIV,"Westmoreland County Public Schools","Workplace Readiness",66
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","CTE Completers",242
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","Industry Certification",1139
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","NOCTI Assessments",59
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","State Licensures",1
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","Students Earning One or More Credentials",1466
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","Total Credentials Earned",1796
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","Workplace Readiness",597
"2021 - 2022",DIV,"Winchester City Public Schools","CTE Completers",161
"2021 - 2022",DIV,"Winchester City Public Schools","Industry Certification",300
"2021 - 2022",DIV,"Winchester City Public Schools","NOCTI Assessments",18
"2021 - 2022",DIV,"Winchester City Public Schools","State Licensures",5
"2021 - 2022",DIV,"Winchester City Public Schools","Students Earning One or More Credentials",468
"2021 - 2022",DIV,"Winchester City Public Schools","Total Credentials Earned",593
"2021 - 2022",DIV,"Winchester City Public Schools","Workplace Readiness",270
"2021 - 2022",DIV,"Wise County Public Schools","CTE Completers",271
"2021 - 2022",DIV,"Wise County Public Schools","Industry Certification",814
"2021 - 2022",DIV,"Wise County Public Schools","State Licensures",25
"2021 - 2022",DIV,"Wise County Public Schools","Students Earning One or More Credentials",673
"2021 - 2022",DIV,"Wise County Public Schools","Total Credentials Earned",839
"2021 - 2022",DIV,"Wythe County Public Schools","Armed Services Vocational Aptitude Battery Examination",4
"2021 - 2022",DIV,"Wythe County Public Schools","CTE Completers",207
"2021 - 2022",DIV,"Wythe County Public Schools","Industry Certification",647
"2021 - 2022",DIV,"Wythe County Public Schools","NOCTI Assessments",101
"2021 - 2022",DIV,"Wythe County Public Schools","State Licensures",7
"2021 - 2022",DIV,"Wythe County Public Schools","Students Earning One or More Credentials",541
"2021 - 2022",DIV,"Wythe County Public Schools","Total Credentials Earned",802
"2021 - 2022",DIV,"Wythe County Public Schools","Workplace Readiness",47
"2021 - 2022",DIV,"York County Public Schools","Armed Services Vocational Aptitude Battery Examination",1
"2021 - 2022",DIV,"York County Public Schools","CTE Completers",355
"2021 - 2022",DIV,"York County Public Schools","Industry Certification",920
"2021 - 2022",DIV,"York County Public Schools","NOCTI Assessments",53
"2021 - 2022",DIV,"York County Public Schools","State Licensures",10
"2021 - 2022",DIV,"York County Public Schools","Students Earning One or More Credentials",1263
"2021 - 2022",DIV,"York County Public Schools","Total Credentials Earned",1978
"2021 - 2022",DIV,"York County Public Schools","Workplace Readiness",995
