"Accreditation Rates"
4/3/2023

Year,Division,School,Indicator,Subgroup,"Level Code","Percent Passing","Percent Passing With Recovery","Percent Showing Growth","Percent Showing EL Progress or Proficiency","Accreditation Combined Rate","No Proficiency or Growth"
2022,"Fairfax County Public Schools","Oakton Elementary","Achievement Gap - Math",Black,SCH,63,13,17,,93,7
2022,"Fairfax County Public Schools","Oakton Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,62,18,18,,98,2
2022,"Fairfax County Public Schools","Oakton Elementary","Achievement Gap - Math","English Learners",SCH,76,12,12,,100,0
2022,"Fairfax County Public Schools","Oakton Elementary","Achievement Gap - Math",Hispanic,SCH,75,12,12,,98,2
2022,"Fairfax County Public Schools","Oakton Elementary","Achievement Gap - Math","Multiple Races",SCH,73,18,7,,98,2
2022,"Fairfax County Public Schools","Oakton Elementary","Achievement Gap - Math","Students with Disabilities",SCH,62,13,18,,93,7
2022,"Fairfax County Public Schools","Oakton Elementary","Achievement Gap - Math",White,SCH,79,10,8,,96,4
2022,"Fairfax County Public Schools","Oakton High","Academic Achievement - English","All Students",SCH,96,0,0,1,97,3
2022,"Fairfax County Public Schools","Oakton High","Academic Achievement - Math","All Students",SCH,92,4,0,,96,4
2022,"Fairfax County Public Schools","Oakton High","Academic Achievement - Science","All Students",SCH,94,,,,,
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - English",Asian,SCH,96,0,0,1,97,3
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - English",Black,SCH,93,0,0,0,93,7
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - English","Economically Disadvantaged",SCH,83,0,0,4,88,12
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - English","English Learners",SCH,67,0,0,17,83,17
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - English",Hispanic,SCH,91,0,0,4,95,5
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - English","Multiple Races",SCH,97,0,0,0,97,3
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - English","Students with Disabilities",SCH,74,0,0,4,77,23
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - English",White,SCH,97,0,0,1,97,3
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - Math",Asian,SCH,96,3,0,,99,1
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - Math",Black,SCH,90,8,0,,98,2
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - Math","Economically Disadvantaged",SCH,85,9,0,,94,6
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - Math","English Learners",SCH,89,10,0,,99,1
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - Math",Hispanic,SCH,90,5,0,,95,5
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - Math","Multiple Races",SCH,93,2,0,,95,5
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - Math","Students with Disabilities",SCH,78,13,0,,91,9
2022,"Fairfax County Public Schools","Oakton High","Achievement Gap - Math",White,SCH,90,5,0,,95,5
2022,"Fairfax County Public Schools","Olde Creek Elementary","Academic Achievement - English","All Students",SCH,73,7,12,1,92,8
2022,"Fairfax County Public Schools","Olde Creek Elementary","Academic Achievement - Math","All Students",SCH,67,10,12,,89,11
2022,"Fairfax County Public Schools","Olde Creek Elementary","Academic Achievement - Science","All Students",SCH,71,,,,,
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - English",Asian,SCH,80,3,9,3,94,6
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - English",Black,SCH,43,14,29,0,86,14
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,48,14,26,2,90,10
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - English","English Learners",SCH,52,17,25,6,100,0
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - English",Hispanic,SCH,57,14,20,3,94,6
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - English","Multiple Races",SCH,84,0,5,0,89,11
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - English","Students with Disabilities",SCH,53,8,23,0,84,16
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - English",White,SCH,79,5,8,1,93,7
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - Math",Asian,SCH,79,13,3,,95,5
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - Math",Black,SCH,35,15,30,,80,20
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,42,13,22,,78,22
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - Math","English Learners",SCH,60,21,17,,98,2
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - Math",Hispanic,SCH,62,14,21,,97,3
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - Math","Multiple Races",SCH,71,10,0,,81,19
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - Math","Students with Disabilities",SCH,50,8,24,,82,18
2022,"Fairfax County Public Schools","Olde Creek Elementary","Achievement Gap - Math",White,SCH,68,7,13,,88,12
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Academic Achievement - English","All Students",SCH,82,7,5,1,95,5
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Academic Achievement - Math","All Students",SCH,72,11,11,,94,6
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Academic Achievement - Science","All Students",SCH,80,,,,,
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - English",Asian,SCH,81,6,10,2,100,0
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - English",Black,SCH,69,7,12,2,90,10
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,57,10,17,5,88,12
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - English","English Learners",SCH,60,19,14,6,100,0
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - English",Hispanic,SCH,72,9,9,2,92,8
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - English","Multiple Races",SCH,86,5,5,0,97,3
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - English","Students with Disabilities",SCH,63,10,15,0,88,12
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - English",White,SCH,85,7,3,1,95,5
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - Math",Asian,SCH,77,16,7,,100,0
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - Math",Black,SCH,61,7,20,,89,11
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,58,12,23,,93,7
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - Math","English Learners",SCH,64,16,19,,100,0
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - Math",Hispanic,SCH,68,5,20,,93,7
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - Math","Multiple Races",SCH,81,10,7,,98,2
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - Math","Students with Disabilities",SCH,51,6,24,,81,19
2022,"Fairfax County Public Schools","Orange Hunt Elementary","Achievement Gap - Math",White,SCH,72,12,9,,93,7
2022,"Fairfax County Public Schools","Parklawn Elementary","Academic Achievement - English","All Students",SCH,52,11,24,9,96,4
2022,"Fairfax County Public Schools","Parklawn Elementary","Academic Achievement - Math","All Students",SCH,48,15,31,,94,6
2022,"Fairfax County Public Schools","Parklawn Elementary","Academic Achievement - Science","All Students",SCH,70,,,,,
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - English",Asian,SCH,66,9,14,9,98,2
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - English",Black,SCH,65,8,20,4,97,3
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,50,11,26,10,98,2
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - English","English Learners",SCH,47,13,27,12,99,1
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - English",Hispanic,SCH,37,8,34,16,96,4
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - English","Multiple Races",SCH,<,<,<,<,<,<
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - English","Students with Disabilities",SCH,28,10,43,10,90,10
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - English",White,SCH,55,20,18,3,96,4
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - Math",Asian,SCH,56,13,29,,98,2
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - Math",Black,SCH,52,16,26,,94,6
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,49,16,31,,96,4
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - Math","English Learners",SCH,46,16,36,,99,1
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - Math",Hispanic,SCH,44,13,34,,92,8
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - Math","Students with Disabilities",SCH,30,10,47,,87,13
2022,"Fairfax County Public Schools","Parklawn Elementary","Achievement Gap - Math",White,SCH,47,18,31,,96,4
2022,"Fairfax County Public Schools","Pine Spring Elementary","Academic Achievement - English","All Students",SCH,56,15,21,5,98,2
2022,"Fairfax County Public Schools","Pine Spring Elementary","Academic Achievement - Math","All Students",SCH,56,20,22,,98,2
2022,"Fairfax County Public Schools","Pine Spring Elementary","Academic Achievement - Science","All Students",SCH,89,,,,,
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - English",Asian,SCH,72,21,5,3,100,0
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - English",Black,SCH,<,<,<,<,<,<
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,47,18,26,6,98,2
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - English","English Learners",SCH,46,18,27,7,99,1
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - English",Hispanic,SCH,45,17,29,8,99,1
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - English","Multiple Races",SCH,<,<,<,<,<,<
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - English","Students with Disabilities",SCH,41,11,35,5,92,8
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - English",White,SCH,87,4,2,0,93,7
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - Math",Asian,SCH,77,11,11,,100,0
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - Math",Black,SCH,<,<,<,,<,<
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,48,24,26,,98,2
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - Math","English Learners",SCH,48,23,27,,99,1
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - Math",Hispanic,SCH,46,24,29,,98,2
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - Math","Students with Disabilities",SCH,45,27,23,,95,5
2022,"Fairfax County Public Schools","Pine Spring Elementary","Achievement Gap - Math",White,SCH,84,10,6,,100,0
2022,"Fairfax County Public Schools","Poe Middle","Academic Achievement - English","All Students",SCH,53,7,17,4,82,18
2022,"Fairfax County Public Schools","Poe Middle","Academic Achievement - Math","All Students",SCH,38,12,27,,77,23
2022,"Fairfax County Public Schools","Poe Middle","Academic Achievement - Science","All Students",SCH,58,,,,,
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - English",Asian,SCH,67,6,11,3,87,13
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - English",Black,SCH,59,4,16,3,82,18
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - English","Economically Disadvantaged",SCH,48,8,19,5,80,20
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - English","English Learners",SCH,49,8,24,7,88,12
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - English",Hispanic,SCH,44,8,21,5,78,22
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - English","Multiple Races",SCH,71,14,0,0,86,14
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - English","Students with Disabilities",SCH,28,7,27,6,68,32
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - English",White,SCH,66,6,13,4,89,11
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - Math",Asian,SCH,61,14,14,,90,10
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - Math",Black,SCH,31,9,36,,77,23
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - Math","Economically Disadvantaged",SCH,32,13,30,,75,25
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - Math","English Learners",SCH,34,14,38,,87,13
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - Math",Hispanic,SCH,28,11,34,,73,27
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - Math","Multiple Races",SCH,53,20,13,,87,13
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - Math","Students with Disabilities",SCH,23,8,35,,66,34
2022,"Fairfax County Public Schools","Poe Middle","Achievement Gap - Math",White,SCH,53,14,14,,80,20
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Academic Achievement - English","All Students",SCH,94,3,3,0,99,1
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Academic Achievement - Math","All Students",SCH,93,3,1,,98,2
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Academic Achievement - Science","All Students",SCH,94,,,,,
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - English",Asian,SCH,95,3,1,0,99,1
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - English",Black,SCH,94,0,0,0,94,6
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,73,8,14,2,98,2
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - English","English Learners",SCH,84,6,8,1,99,1
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - English",Hispanic,SCH,79,0,15,3,97,3
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - English","Multiple Races",SCH,100,0,0,0,100,0
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - English","Students with Disabilities",SCH,80,8,7,2,97,3
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - English",White,SCH,94,3,3,0,99,1
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - Math",Asian,SCH,96,2,0,,99,1
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - Math",Black,SCH,88,6,0,,94,6
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,79,8,6,,94,6
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - Math","English Learners",SCH,88,5,4,,97,3
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - Math",Hispanic,SCH,85,6,6,,97,3
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - Math","Multiple Races",SCH,100,0,0,,100,0
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - Math","Students with Disabilities",SCH,76,7,5,,88,12
2022,"Fairfax County Public Schools","Poplar Tree Elementary","Achievement Gap - Math",White,SCH,91,4,1,,97,3
2022,"Fairfax County Public Schools","Powell Elementary","Academic Achievement - English","All Students",SCH,82,7,5,2,97,3
2022,"Fairfax County Public Schools","Powell Elementary","Academic Achievement - Math","All Students",SCH,81,11,5,,96,4
2022,"Fairfax County Public Schools","Powell Elementary","Academic Achievement - Science","All Students",SCH,83,,,,,
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - English",Asian,SCH,83,7,6,3,99,1
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - English",Black,SCH,88,0,8,0,96,4
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,65,16,13,3,96,4
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - English","English Learners",SCH,69,13,10,6,98,2
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - English",Hispanic,SCH,66,13,11,5,95,5
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - English","Multiple Races",SCH,89,5,2,0,95,5
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - English","Students with Disabilities",SCH,47,8,19,8,81,19
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - English",White,SCH,82,8,3,1,94,6
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - Math",Asian,SCH,83,12,3,,98,2
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - Math",Black,SCH,69,8,15,,92,8
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,69,15,12,,96,4
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - Math","English Learners",SCH,74,16,8,,98,2
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - Math",Hispanic,SCH,71,9,12,,91,9
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - Math","Multiple Races",SCH,79,13,4,,96,4
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - Math","Students with Disabilities",SCH,50,12,12,,73,27
2022,"Fairfax County Public Schools","Powell Elementary","Achievement Gap - Math",White,SCH,79,8,6,,94,6
2022,"Fairfax County Public Schools","Providence Elementary","Academic Achievement - English","All Students",SCH,68,9,15,4,96,4
2022,"Fairfax County Public Schools","Providence Elementary","Academic Achievement - Math","All Students",SCH,68,15,14,,97,3
2022,"Fairfax County Public Schools","Providence Elementary","Academic Achievement - Science","All Students",SCH,87,,,,,
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - English",Asian,SCH,78,11,8,2,100,0
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - English",Black,SCH,70,6,18,0,94,6
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,49,12,26,8,96,4
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - English","English Learners",SCH,53,14,22,9,97,3
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - English",Hispanic,SCH,48,11,27,9,95,5
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - English","Multiple Races",SCH,82,6,0,0,88,12
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - English","Students with Disabilities",SCH,51,9,26,3,89,11
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - English",White,SCH,81,6,7,2,96,4
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - Math",Asian,SCH,85,9,6,,100,0
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - Math",Black,SCH,66,17,9,,91,9
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,52,21,24,,97,3
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - Math","English Learners",SCH,55,22,22,,99,1
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - Math",Hispanic,SCH,50,22,26,,99,1
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - Math","Multiple Races",SCH,72,14,6,,92,8
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - Math","Students with Disabilities",SCH,49,17,22,,88,12
2022,"Fairfax County Public Schools","Providence Elementary","Achievement Gap - Math",White,SCH,78,10,8,,95,5
2022,"Fairfax County Public Schools","Ravensworth Elementary","Academic Achievement - English","All Students",SCH,79,6,10,1,95,5
2022,"Fairfax County Public Schools","Ravensworth Elementary","Academic Achievement - Math","All Students",SCH,70,12,15,,97,3
2022,"Fairfax County Public Schools","Ravensworth Elementary","Academic Achievement - Science","All Students",SCH,82,,,,,
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - English",Asian,SCH,75,6,12,4,96,4
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - English",Black,SCH,80,15,5,0,100,0
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,56,13,23,1,92,8
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - English","English Learners",SCH,68,11,17,2,99,1
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - English",Hispanic,SCH,70,9,16,0,94,6
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - English","Multiple Races",SCH,85,0,6,0,91,9
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - English","Students with Disabilities",SCH,64,5,24,2,95,5
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - English",White,SCH,86,4,6,0,96,4
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - Math",Asian,SCH,69,11,17,,96,4
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - Math",Black,SCH,57,19,24,,100,0
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,57,19,21,,98,2
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - Math","English Learners",SCH,63,17,20,,100,0
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - Math",Hispanic,SCH,64,15,18,,97,3
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - Math","Multiple Races",SCH,70,15,13,,98,2
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - Math","Students with Disabilities",SCH,49,11,30,,89,11
2022,"Fairfax County Public Schools","Ravensworth Elementary","Achievement Gap - Math",White,SCH,78,9,11,,97,3
2022,"Fairfax County Public Schools","Riverside Elementary","Academic Achievement - English","All Students",SCH,58,9,21,4,92,8
2022,"Fairfax County Public Schools","Riverside Elementary","Academic Achievement - Math","All Students",SCH,39,9,35,,84,16
2022,"Fairfax County Public Schools","Riverside Elementary","Academic Achievement - Science","All Students",SCH,64,,,,,
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - English",Asian,SCH,69,6,11,6,92,8
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - English",Black,SCH,55,12,22,0,89,11
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,47,10,27,6,90,10
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - English","English Learners",SCH,46,13,31,8,97,3
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - English",Hispanic,SCH,46,11,29,7,93,7
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - English","Multiple Races",SCH,86,0,0,0,86,14
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - English","Students with Disabilities",SCH,34,11,36,5,86,14
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - English",White,SCH,82,5,6,2,95,5
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - Math",Asian,SCH,55,3,33,,91,9
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - Math",Black,SCH,30,7,36,,72,28
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,28,8,44,,80,20
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - Math","English Learners",SCH,32,12,50,,94,6
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - Math",Hispanic,SCH,31,12,44,,87,13
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - Math","Multiple Races",SCH,79,0,14,,93,7
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - Math","Students with Disabilities",SCH,20,2,47,,69,31
2022,"Fairfax County Public Schools","Riverside Elementary","Achievement Gap - Math",White,SCH,64,13,16,,92,8
2022,"Fairfax County Public Schools","Robinson Secondary","Academic Achievement - English","All Students",SCH,92,2,1,0,96,4
2022,"Fairfax County Public Schools","Robinson Secondary","Academic Achievement - Math","All Students",SCH,77,10,4,,92,8
2022,"Fairfax County Public Schools","Robinson Secondary","Academic Achievement - Science","All Students",SCH,86,,,,,
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - English",Asian,SCH,94,2,0,0,96,4
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - English",Black,SCH,88,4,1,1,94,6
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - English","Economically Disadvantaged",SCH,80,3,4,2,90,10
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - English","English Learners",SCH,72,6,9,4,91,9
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - English",Hispanic,SCH,87,3,2,1,93,7
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - English","Multiple Races",SCH,94,2,0,0,96,4
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - English","Students with Disabilities",SCH,76,3,6,1,85,15
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - English",White,SCH,93,1,1,0,96,4
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - Math",Asian,SCH,80,12,3,,95,5
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - Math",Black,SCH,65,11,8,,84,16
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - Math","Economically Disadvantaged",SCH,63,13,8,,84,16
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - Math","English Learners",SCH,62,15,12,,89,11
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - Math",Hispanic,SCH,70,13,5,,88,12
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - Math","Multiple Races",SCH,81,12,2,,95,5
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - Math","Students with Disabilities",SCH,56,12,10,,79,21
2022,"Fairfax County Public Schools","Robinson Secondary","Achievement Gap - Math",White,SCH,79,9,4,,92,8
2022,"Fairfax County Public Schools","Rocky Run Middle","Academic Achievement - English","All Students",SCH,91,3,2,0,97,3
2022,"Fairfax County Public Schools","Rocky Run Middle","Academic Achievement - Math","All Students",SCH,87,7,3,,97,3
2022,"Fairfax County Public Schools","Rocky Run Middle","Academic Achievement - Science","All Students",SCH,90,,,,,
2022,"Fairfax County Public Schools","Rocky Run Middle","Achievement Gap - English",Asian,SCH,95,3,1,0,99,1
2022,"Fairfax County Public Schools","Rocky Run Middle","Achievement Gap - English",Black,SCH,82,6,4,0,92,8
2022,"Fairfax County Public Schools","Rocky Run Middle","Achievement Gap - English","Economically Disadvantaged",SCH,78,6,6,2,92,8
2022,"Fairfax County Public Schools","Rocky Run Middle","Achievement Gap - English","English Learners",SCH,71,10,10,4,96,4
2022,"Fairfax County Public Schools","Rocky Run Middle","Achievement Gap - English",Hispanic,SCH,76,6,7,2,91,9
2022,"Fairfax County Public Schools","Rocky Run Middle","Achievement Gap - English","Multiple Races",SCH,98,0,0,0,98,2
