"Postsecondary Enrollment"
4/3/2023

Year,Level,Division,Subgroup,"Students earning a federally recognized high school diploma","Students enrolled in higher education within 16 months of graduation",Percent
2018,DIV,"Floyd County Public Schools",Male,74,35,47
2018,DIV,"Floyd County Public Schools","Multiple Races",<,<,<
2018,DIV,"Floyd County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Floyd County Public Schools",White,137,79,58
2018,DIV,"Fluvanna County Public Schools","All Students",246,148,60
2018,DIV,"Fluvanna County Public Schools",Asian,<,<,<
2018,DIV,"Fluvanna County Public Schools",Black,43,19,44
2018,DIV,"Fluvanna County Public Schools","Economically Disadvantaged",66,25,38
2018,DIV,"Fluvanna County Public Schools","English Learners",<,<,<
2018,DIV,"Fluvanna County Public Schools",Female,121,82,68
2018,DIV,"Fluvanna County Public Schools",Hispanic,16,<,<
2018,DIV,"Fluvanna County Public Schools",Male,125,66,53
2018,DIV,"Fluvanna County Public Schools","Multiple Races",<,<,<
2018,DIV,"Fluvanna County Public Schools","Students with Disabilities",28,12,43
2018,DIV,"Fluvanna County Public Schools",White,178,114,64
2018,DIV,"Franklin City Public Schools","All Students",70,36,51
2018,DIV,"Franklin City Public Schools",Black,57,28,49
2018,DIV,"Franklin City Public Schools","Economically Disadvantaged",39,21,54
2018,DIV,"Franklin City Public Schools",Female,33,18,55
2018,DIV,"Franklin City Public Schools",Hispanic,<,<,<
2018,DIV,"Franklin City Public Schools",Male,37,18,49
2018,DIV,"Franklin City Public Schools","Multiple Races",<,<,<
2018,DIV,"Franklin City Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Franklin City Public Schools",White,11,<,<
2018,DIV,"Franklin County Public Schools","All Students",495,300,61
2018,DIV,"Franklin County Public Schools",Asian,<,<,<
2018,DIV,"Franklin County Public Schools",Black,38,28,74
2018,DIV,"Franklin County Public Schools","Economically Disadvantaged",175,81,46
2018,DIV,"Franklin County Public Schools","English Learners",<,<,<
2018,DIV,"Franklin County Public Schools",Female,266,188,71
2018,DIV,"Franklin County Public Schools",Hispanic,19,10,53
2018,DIV,"Franklin County Public Schools",Male,229,112,49
2018,DIV,"Franklin County Public Schools","Multiple Races",27,15,56
2018,DIV,"Franklin County Public Schools","Students with Disabilities",47,13,28
2018,DIV,"Franklin County Public Schools",White,408,244,60
2018,DIV,"Frederick County Public Schools","All Students",929,585,63
2018,DIV,"Frederick County Public Schools",Asian,16,11,69
2018,DIV,"Frederick County Public Schools",Black,45,24,53
2018,DIV,"Frederick County Public Schools","Economically Disadvantaged",234,105,45
2018,DIV,"Frederick County Public Schools","English Learners",35,17,49
2018,DIV,"Frederick County Public Schools",Female,475,352,74
2018,DIV,"Frederick County Public Schools",Hispanic,102,59,58
2018,DIV,"Frederick County Public Schools",Male,454,233,51
2018,DIV,"Frederick County Public Schools","Multiple Races",35,24,69
2018,DIV,"Frederick County Public Schools","Students with Disabilities",76,21,28
2018,DIV,"Frederick County Public Schools",White,731,467,64
2018,DIV,"Fredericksburg City Public Schools","All Students",211,134,64
2018,DIV,"Fredericksburg City Public Schools",Asian,10,<,<
2018,DIV,"Fredericksburg City Public Schools",Black,78,39,50
2018,DIV,"Fredericksburg City Public Schools","Economically Disadvantaged",89,46,52
2018,DIV,"Fredericksburg City Public Schools","English Learners",14,<,<
2018,DIV,"Fredericksburg City Public Schools",Female,111,79,71
2018,DIV,"Fredericksburg City Public Schools",Hispanic,31,15,48
2018,DIV,"Fredericksburg City Public Schools",Male,100,55,55
2018,DIV,"Fredericksburg City Public Schools","Multiple Races",<,<,<
2018,DIV,"Fredericksburg City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Fredericksburg City Public Schools","Students with Disabilities",12,<,<
2018,DIV,"Fredericksburg City Public Schools",White,84,67,80
2018,DIV,"Galax City Public Schools","All Students",82,56,68
2018,DIV,"Galax City Public Schools",Black,<,<,<
2018,DIV,"Galax City Public Schools","Economically Disadvantaged",36,19,53
2018,DIV,"Galax City Public Schools","English Learners",12,<,<
2018,DIV,"Galax City Public Schools",Female,46,34,74
2018,DIV,"Galax City Public Schools",Hispanic,18,10,56
2018,DIV,"Galax City Public Schools",Male,36,22,61
2018,DIV,"Galax City Public Schools","Multiple Races",<,<,<
2018,DIV,"Galax City Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Galax City Public Schools",White,57,42,74
2018,DIV,"Giles County Public Schools","All Students",189,107,57
2018,DIV,"Giles County Public Schools",Black,<,<,<
2018,DIV,"Giles County Public Schools","Economically Disadvantaged",69,30,43
2018,DIV,"Giles County Public Schools",Female,102,64,63
2018,DIV,"Giles County Public Schools",Hispanic,<,<,<
2018,DIV,"Giles County Public Schools",Male,87,43,49
2018,DIV,"Giles County Public Schools","Multiple Races",<,<,<
2018,DIV,"Giles County Public Schools","Students with Disabilities",18,<,<
2018,DIV,"Giles County Public Schools",White,183,102,56
2018,DIV,"Gloucester County Public Schools","All Students",339,185,55
2018,DIV,"Gloucester County Public Schools","American Indian",<,<,<
2018,DIV,"Gloucester County Public Schools",Asian,<,<,<
2018,DIV,"Gloucester County Public Schools",Black,20,10,50
2018,DIV,"Gloucester County Public Schools","Economically Disadvantaged",103,45,44
2018,DIV,"Gloucester County Public Schools","English Learners",<,<,<
2018,DIV,"Gloucester County Public Schools",Female,179,112,63
2018,DIV,"Gloucester County Public Schools",Hispanic,20,11,55
2018,DIV,"Gloucester County Public Schools",Male,160,73,46
2018,DIV,"Gloucester County Public Schools","Multiple Races",15,11,73
2018,DIV,"Gloucester County Public Schools","Students with Disabilities",25,<,<
2018,DIV,"Gloucester County Public Schools",White,278,149,54
2018,DIV,"Goochland County Public Schools","All Students",215,142,66
2018,DIV,"Goochland County Public Schools",Black,52,36,69
2018,DIV,"Goochland County Public Schools","Economically Disadvantaged",51,26,51
2018,DIV,"Goochland County Public Schools","English Learners",<,<,<
2018,DIV,"Goochland County Public Schools",Female,108,82,76
2018,DIV,"Goochland County Public Schools",Hispanic,14,<,<
2018,DIV,"Goochland County Public Schools",Male,107,60,56
2018,DIV,"Goochland County Public Schools","Multiple Races",10,<,<
2018,DIV,"Goochland County Public Schools","Students with Disabilities",18,<,<
2018,DIV,"Goochland County Public Schools",White,139,92,66
2018,DIV,"Grayson County Public Schools","All Students",102,65,64
2018,DIV,"Grayson County Public Schools","American Indian",<,<,<
2018,DIV,"Grayson County Public Schools",Black,<,<,<
2018,DIV,"Grayson County Public Schools","Economically Disadvantaged",48,29,60
2018,DIV,"Grayson County Public Schools",Female,49,35,71
2018,DIV,"Grayson County Public Schools",Hispanic,<,<,<
2018,DIV,"Grayson County Public Schools",Male,53,30,57
2018,DIV,"Grayson County Public Schools","Multiple Races",<,<,<
2018,DIV,"Grayson County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Grayson County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Grayson County Public Schools",White,87,56,64
2018,DIV,"Greene County Public Schools","All Students",205,137,67
2018,DIV,"Greene County Public Schools",Asian,<,<,<
2018,DIV,"Greene County Public Schools",Black,13,10,77
2018,DIV,"Greene County Public Schools","Economically Disadvantaged",66,41,62
2018,DIV,"Greene County Public Schools","English Learners",<,<,<
2018,DIV,"Greene County Public Schools",Female,98,77,79
2018,DIV,"Greene County Public Schools",Hispanic,12,<,<
2018,DIV,"Greene County Public Schools",Male,107,60,56
2018,DIV,"Greene County Public Schools","Multiple Races",15,<,<
2018,DIV,"Greene County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Greene County Public Schools",White,160,106,66
2018,DIV,"Greensville County Public Schools","All Students",154,86,56
2018,DIV,"Greensville County Public Schools",Asian,<,<,<
2018,DIV,"Greensville County Public Schools",Black,109,61,56
2018,DIV,"Greensville County Public Schools","Economically Disadvantaged",79,39,49
2018,DIV,"Greensville County Public Schools","English Learners",<,<,<
2018,DIV,"Greensville County Public Schools",Female,88,58,66
2018,DIV,"Greensville County Public Schools",Hispanic,<,<,<
2018,DIV,"Greensville County Public Schools",Male,66,28,42
2018,DIV,"Greensville County Public Schools","Students with Disabilities",17,<,<
2018,DIV,"Greensville County Public Schools",White,37,21,57
2018,DIV,"Halifax County Public Schools","All Students",307,193,63
2018,DIV,"Halifax County Public Schools",Asian,<,<,<
2018,DIV,"Halifax County Public Schools",Black,129,76,59
2018,DIV,"Halifax County Public Schools","Economically Disadvantaged",306,193,63
2018,DIV,"Halifax County Public Schools","English Learners",<,<,<
2018,DIV,"Halifax County Public Schools",Female,167,118,71
2018,DIV,"Halifax County Public Schools",Hispanic,13,<,<
2018,DIV,"Halifax County Public Schools",Male,140,75,54
2018,DIV,"Halifax County Public Schools","Multiple Races",<,<,<
2018,DIV,"Halifax County Public Schools","Students with Disabilities",33,12,36
2018,DIV,"Halifax County Public Schools",White,158,109,69
2018,DIV,"Hampton City Public Schools","All Students",1296,666,51
2018,DIV,"Hampton City Public Schools","American Indian",<,<,<
2018,DIV,"Hampton City Public Schools",Asian,25,22,88
2018,DIV,"Hampton City Public Schools",Black,834,435,52
2018,DIV,"Hampton City Public Schools","Economically Disadvantaged",658,298,45
2018,DIV,"Hampton City Public Schools","English Learners",25,14,56
2018,DIV,"Hampton City Public Schools",Female,657,395,60
2018,DIV,"Hampton City Public Schools",Hispanic,74,35,47
2018,DIV,"Hampton City Public Schools",Male,639,271,42
2018,DIV,"Hampton City Public Schools","Multiple Races",64,33,52
2018,DIV,"Hampton City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Hampton City Public Schools","Students with Disabilities",117,36,31
2018,DIV,"Hampton City Public Schools",White,293,137,47
2018,DIV,"Hanover County Public Schools","All Students",1395,1049,75
2018,DIV,"Hanover County Public Schools","American Indian",<,<,<
2018,DIV,"Hanover County Public Schools",Asian,26,23,88
2018,DIV,"Hanover County Public Schools",Black,133,96,72
2018,DIV,"Hanover County Public Schools","Economically Disadvantaged",169,76,45
2018,DIV,"Hanover County Public Schools","English Learners",21,<,<
2018,DIV,"Hanover County Public Schools",Female,662,554,84
2018,DIV,"Hanover County Public Schools",Hispanic,53,32,60
2018,DIV,"Hanover County Public Schools",Male,733,495,68
2018,DIV,"Hanover County Public Schools","Multiple Races",31,18,58
2018,DIV,"Hanover County Public Schools","Students with Disabilities",141,56,40
2018,DIV,"Hanover County Public Schools",White,1147,877,76
2018,DIV,"Harrisonburg City Public Schools","All Students",385,252,65
2018,DIV,"Harrisonburg City Public Schools","American Indian",<,<,<
2018,DIV,"Harrisonburg City Public Schools",Asian,18,18,100
2018,DIV,"Harrisonburg City Public Schools",Black,43,25,58
2018,DIV,"Harrisonburg City Public Schools","Economically Disadvantaged",243,133,55
2018,DIV,"Harrisonburg City Public Schools","English Learners",125,66,53
2018,DIV,"Harrisonburg City Public Schools",Female,176,123,70
2018,DIV,"Harrisonburg City Public Schools",Hispanic,154,77,50
2018,DIV,"Harrisonburg City Public Schools",Male,209,129,62
2018,DIV,"Harrisonburg City Public Schools","Multiple Races",<,<,<
2018,DIV,"Harrisonburg City Public Schools","Students with Disabilities",22,11,50
2018,DIV,"Harrisonburg City Public Schools",White,160,127,79
2018,DIV,"Henrico County Public Schools","All Students",3496,2547,73
2018,DIV,"Henrico County Public Schools","American Indian",<,<,<
2018,DIV,"Henrico County Public Schools",Asian,320,290,91
2018,DIV,"Henrico County Public Schools",Black,1233,761,62
2018,DIV,"Henrico County Public Schools","Economically Disadvantaged",1126,635,56
2018,DIV,"Henrico County Public Schools","English Learners",175,108,62
2018,DIV,"Henrico County Public Schools",Female,1737,1363,78
2018,DIV,"Henrico County Public Schools",Hispanic,245,148,60
2018,DIV,"Henrico County Public Schools",Male,1759,1184,67
2018,DIV,"Henrico County Public Schools","Multiple Races",138,101,73
2018,DIV,"Henrico County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Henrico County Public Schools","Students with Disabilities",317,152,48
2018,DIV,"Henrico County Public Schools",White,1553,1243,80
2018,DIV,"Henry County Public Schools","All Students",460,332,72
2018,DIV,"Henry County Public Schools","American Indian",<,<,<
2018,DIV,"Henry County Public Schools",Asian,<,<,<
2018,DIV,"Henry County Public Schools",Black,85,69,81
2018,DIV,"Henry County Public Schools","Economically Disadvantaged",199,130,65
2018,DIV,"Henry County Public Schools","English Learners",18,<,<
2018,DIV,"Henry County Public Schools",Female,228,177,78
2018,DIV,"Henry County Public Schools",Hispanic,52,27,52
2018,DIV,"Henry County Public Schools",Male,232,155,67
2018,DIV,"Henry County Public Schools","Multiple Races",34,28,82
2018,DIV,"Henry County Public Schools","Students with Disabilities",28,16,57
2018,DIV,"Henry County Public Schools",White,284,203,71
2018,DIV,"Highland County Public Schools","All Students",13,<,<
2018,DIV,"Highland County Public Schools","Economically Disadvantaged",<,<,<
2018,DIV,"Highland County Public Schools",Female,<,<,<
2018,DIV,"Highland County Public Schools",Male,<,<,<
2018,DIV,"Highland County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Highland County Public Schools",White,13,<,<
2018,DIV,"Hopewell City Public Schools","All Students",229,115,50
2018,DIV,"Hopewell City Public Schools","American Indian",<,<,<
2018,DIV,"Hopewell City Public Schools",Black,139,76,55
2018,DIV,"Hopewell City Public Schools","Economically Disadvantaged",100,52,52
2018,DIV,"Hopewell City Public Schools","English Learners",<,<,<
2018,DIV,"Hopewell City Public Schools",Female,125,72,58
2018,DIV,"Hopewell City Public Schools",Hispanic,14,<,<
2018,DIV,"Hopewell City Public Schools",Male,104,43,41
2018,DIV,"Hopewell City Public Schools","Multiple Races",<,<,<
2018,DIV,"Hopewell City Public Schools","Students with Disabilities",13,<,<
2018,DIV,"Hopewell City Public Schools",White,74,29,39
2018,DIV,"Isle of Wight County Public Schools","All Students",410,246,60
2018,DIV,"Isle of Wight County Public Schools","American Indian",<,<,<
2018,DIV,"Isle of Wight County Public Schools",Asian,<,<,<
2018,DIV,"Isle of Wight County Public Schools",Black,132,75,57
2018,DIV,"Isle of Wight County Public Schools","Economically Disadvantaged",110,47,43
2018,DIV,"Isle of Wight County Public Schools","English Learners",<,<,<
2018,DIV,"Isle of Wight County Public Schools",Female,209,150,72
2018,DIV,"Isle of Wight County Public Schools",Hispanic,19,10,53
2018,DIV,"Isle of Wight County Public Schools",Male,201,96,48
2018,DIV,"Isle of Wight County Public Schools","Multiple Races",14,<,<
2018,DIV,"Isle of Wight County Public Schools","Students with Disabilities",32,12,38
2018,DIV,"Isle of Wight County Public Schools",White,238,147,62
2018,DIV,"King George County Public Schools","All Students",283,164,58
2018,DIV,"King George County Public Schools","American Indian",<,<,<
2018,DIV,"King George County Public Schools",Asian,<,<,<
2018,DIV,"King George County Public Schools",Black,57,27,47
2018,DIV,"King George County Public Schools","Economically Disadvantaged",59,24,41
2018,DIV,"King George County Public Schools","English Learners",<,<,<
2018,DIV,"King George County Public Schools",Female,134,92,69
2018,DIV,"King George County Public Schools",Hispanic,11,<,<
2018,DIV,"King George County Public Schools",Male,149,72,48
2018,DIV,"King George County Public Schools","Multiple Races",21,15,71
2018,DIV,"King George County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"King George County Public Schools","Students with Disabilities",14,<,<
2018,DIV,"King George County Public Schools",White,186,109,59
2018,DIV,"King William County Public Schools","All Students",157,76,48
2018,DIV,"King William County Public Schools","American Indian",<,<,<
2018,DIV,"King William County Public Schools",Asian,<,<,<
2018,DIV,"King William County Public Schools",Black,19,<,<
2018,DIV,"King William County Public Schools","Economically Disadvantaged",36,15,42
2018,DIV,"King William County Public Schools","English Learners",<,<,<
2018,DIV,"King William County Public Schools",Female,84,54,64
2018,DIV,"King William County Public Schools",Hispanic,<,<,<
2018,DIV,"King William County Public Schools",Male,73,22,30
2018,DIV,"King William County Public Schools","Multiple Races",<,<,<
2018,DIV,"King William County Public Schools","Students with Disabilities",10,<,<
2018,DIV,"King William County Public Schools",White,122,61,50
2018,DIV,"King and Queen County Public Schools","All Students",28,19,68
2018,DIV,"King and Queen County Public Schools","American Indian",<,<,<
2018,DIV,"King and Queen County Public Schools",Black,11,<,<
2018,DIV,"King and Queen County Public Schools","Economically Disadvantaged",20,13,65
2018,DIV,"King and Queen County Public Schools",Female,13,11,85
2018,DIV,"King and Queen County Public Schools",Male,15,<,<
2018,DIV,"King and Queen County Public Schools","Multiple Races",<,<,<
2018,DIV,"King and Queen County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"King and Queen County Public Schools",White,14,<,<
2018,DIV,"Lancaster County Public Schools","All Students",79,44,56
2018,DIV,"Lancaster County Public Schools",Asian,<,<,<
2018,DIV,"Lancaster County Public Schools",Black,40,15,38
2018,DIV,"Lancaster County Public Schools","Economically Disadvantaged",40,15,38
2018,DIV,"Lancaster County Public Schools","English Learners",<,<,<
2018,DIV,"Lancaster County Public Schools",Female,32,19,59
2018,DIV,"Lancaster County Public Schools",Hispanic,<,<,<
2018,DIV,"Lancaster County Public Schools",Male,47,25,53
2018,DIV,"Lancaster County Public Schools","Multiple Races",<,<,<
2018,DIV,"Lancaster County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Lancaster County Public Schools",White,32,25,78
2018,DIV,"Lee County Public Schools","All Students",198,110,56
2018,DIV,"Lee County Public Schools",Asian,<,<,<
2018,DIV,"Lee County Public Schools","Economically Disadvantaged",82,40,49
2018,DIV,"Lee County Public Schools","English Learners",<,<,<
2018,DIV,"Lee County Public Schools",Female,94,52,55
2018,DIV,"Lee County Public Schools",Hispanic,<,<,<
2018,DIV,"Lee County Public Schools",Male,104,58,56
2018,DIV,"Lee County Public Schools","Multiple Races",<,<,<
2018,DIV,"Lee County Public Schools","Students with Disabilities",18,<,<
2018,DIV,"Lee County Public Schools",White,192,106,55
2018,DIV,"Loudoun County Public Schools","All Students",5573,4726,85
2018,DIV,"Loudoun County Public Schools","American Indian",13,13,100
2018,DIV,"Loudoun County Public Schools",Asian,967,875,90
2018,DIV,"Loudoun County Public Schools",Black,414,338,82
2018,DIV,"Loudoun County Public Schools","Economically Disadvantaged",792,569,72
2018,DIV,"Loudoun County Public Schools","English Learners",366,227,62
2018,DIV,"Loudoun County Public Schools",Female,2748,2426,88
2018,DIV,"Loudoun County Public Schools",Hispanic,804,551,69
2018,DIV,"Loudoun County Public Schools",Male,2825,2300,81
2018,DIV,"Loudoun County Public Schools","Multiple Races",276,245,89
2018,DIV,"Loudoun County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Loudoun County Public Schools","Students with Disabilities",536,372,69
2018,DIV,"Loudoun County Public Schools",White,3094,2700,87
2018,DIV,"Louisa County Public Schools","All Students",304,167,55
2018,DIV,"Louisa County Public Schools",Asian,<,<,<
2018,DIV,"Louisa County Public Schools",Black,53,28,53
2018,DIV,"Louisa County Public Schools","Economically Disadvantaged",134,56,42
2018,DIV,"Louisa County Public Schools","English Learners",<,<,<
2018,DIV,"Louisa County Public Schools",Female,152,94,62
2018,DIV,"Louisa County Public Schools",Hispanic,11,<,<
2018,DIV,"Louisa County Public Schools",Male,152,73,48
2018,DIV,"Louisa County Public Schools","Multiple Races",17,<,<
2018,DIV,"Louisa County Public Schools","Students with Disabilities",42,13,31
2018,DIV,"Louisa County Public Schools",White,222,122,55
2018,DIV,"Lunenburg County Public Schools","All Students",92,52,57
2018,DIV,"Lunenburg County Public Schools",Asian,<,<,<
2018,DIV,"Lunenburg County Public Schools",Black,25,16,64
2018,DIV,"Lunenburg County Public Schools","Economically Disadvantaged",53,32,60
2018,DIV,"Lunenburg County Public Schools",Female,50,37,74
2018,DIV,"Lunenburg County Public Schools",Hispanic,<,<,<
2018,DIV,"Lunenburg County Public Schools",Male,42,15,36
2018,DIV,"Lunenburg County Public Schools","Multiple Races",<,<,<
2018,DIV,"Lunenburg County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Lunenburg County Public Schools",White,57,32,56
2018,DIV,"Lynchburg City Public Schools","All Students",482,345,72
2018,DIV,"Lynchburg City Public Schools","American Indian",<,<,<
2018,DIV,"Lynchburg City Public Schools",Asian,<,<,<
2018,DIV,"Lynchburg City Public Schools",Black,215,136,63
2018,DIV,"Lynchburg City Public Schools","Economically Disadvantaged",225,132,59
2018,DIV,"Lynchburg City Public Schools","English Learners",<,<,<
2018,DIV,"Lynchburg City Public Schools",Female,246,183,74
2018,DIV,"Lynchburg City Public Schools",Hispanic,17,10,59
2018,DIV,"Lynchburg City Public Schools",Male,236,162,69
2018,DIV,"Lynchburg City Public Schools","Multiple Races",30,20,67
2018,DIV,"Lynchburg City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Lynchburg City Public Schools","Students with Disabilities",39,21,54
2018,DIV,"Lynchburg City Public Schools",White,208,171,82
2018,DIV,"Madison County Public Schools","All Students",117,66,56
2018,DIV,"Madison County Public Schools",Black,10,<,<
2018,DIV,"Madison County Public Schools","Economically Disadvantaged",38,12,32
2018,DIV,"Madison County Public Schools",Female,60,39,65
2018,DIV,"Madison County Public Schools",Hispanic,<,<,<
2018,DIV,"Madison County Public Schools",Male,57,27,47
2018,DIV,"Madison County Public Schools","Multiple Races",<,<,<
2018,DIV,"Madison County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Madison County Public Schools",White,96,52,54
2018,DIV,"Manassas City Public Schools","All Students",419,250,60
2018,DIV,"Manassas City Public Schools","American Indian",<,<,<
2018,DIV,"Manassas City Public Schools",Asian,31,27,87
2018,DIV,"Manassas City Public Schools",Black,48,27,56
2018,DIV,"Manassas City Public Schools","Economically Disadvantaged",169,89,53
2018,DIV,"Manassas City Public Schools","English Learners",108,49,45
2018,DIV,"Manassas City Public Schools",Female,211,132,63
2018,DIV,"Manassas City Public Schools",Hispanic,225,113,50
2018,DIV,"Manassas City Public Schools",Male,208,118,57
2018,DIV,"Manassas City Public Schools","Multiple Races",16,12,75
2018,DIV,"Manassas City Public Schools","Students with Disabilities",43,17,40
2018,DIV,"Manassas City Public Schools",White,98,70,71
2018,DIV,"Manassas Park City Public Schools","All Students",267,149,56
2018,DIV,"Manassas Park City Public Schools",Asian,18,13,72
2018,DIV,"Manassas Park City Public Schools",Black,25,14,56
2018,DIV,"Manassas Park City Public Schools","Economically Disadvantaged",128,61,48
2018,DIV,"Manassas Park City Public Schools","English Learners",75,21,28
2018,DIV,"Manassas Park City Public Schools",Female,136,81,60
2018,DIV,"Manassas Park City Public Schools",Hispanic,143,67,47
2018,DIV,"Manassas Park City Public Schools",Male,131,68,52
2018,DIV,"Manassas Park City Public Schools","Multiple Races",16,10,63
2018,DIV,"Manassas Park City Public Schools","Students with Disabilities",17,10,59
2018,DIV,"Manassas Park City Public Schools",White,65,45,69
2018,DIV,"Martinsville City Public Schools","All Students",131,77,59
2018,DIV,"Martinsville City Public Schools",Asian,<,<,<
2018,DIV,"Martinsville City Public Schools",Black,77,47,61
2018,DIV,"Martinsville City Public Schools","Economically Disadvantaged",70,37,53
2018,DIV,"Martinsville City Public Schools","English Learners",<,<,<
2018,DIV,"Martinsville City Public Schools",Female,62,41,66
2018,DIV,"Martinsville City Public Schools",Hispanic,13,<,<
2018,DIV,"Martinsville City Public Schools",Male,69,36,52
2018,DIV,"Martinsville City Public Schools","Multiple Races",<,<,<
2018,DIV,"Martinsville City Public Schools","Students with Disabilities",14,<,<
2018,DIV,"Martinsville City Public Schools",White,36,23,64
2018,DIV,"Mathews County Public Schools","All Students",83,51,61
2018,DIV,"Mathews County Public Schools",Asian,<,<,<
2018,DIV,"Mathews County Public Schools",Black,<,<,<
2018,DIV,"Mathews County Public Schools","Economically Disadvantaged",27,12,44
2018,DIV,"Mathews County Public Schools",Female,40,30,75
2018,DIV,"Mathews County Public Schools",Hispanic,<,<,<
2018,DIV,"Mathews County Public Schools",Male,43,21,49
2018,DIV,"Mathews County Public Schools","Multiple Races",<,<,<
2018,DIV,"Mathews County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Mathews County Public Schools",White,71,43,61
2018,DIV,"Mecklenburg County Public Schools","All Students",285,186,65
2018,DIV,"Mecklenburg County Public Schools",Asian,<,<,<
2018,DIV,"Mecklenburg County Public Schools",Black,124,80,65
2018,DIV,"Mecklenburg County Public Schools","Economically Disadvantaged",142,82,58
2018,DIV,"Mecklenburg County Public Schools","English Learners",<,<,<
2018,DIV,"Mecklenburg County Public Schools",Female,153,112,73
2018,DIV,"Mecklenburg County Public Schools",Hispanic,<,<,<
2018,DIV,"Mecklenburg County Public Schools",Male,132,74,56
2018,DIV,"Mecklenburg County Public Schools","Multiple Races",<,<,<
2018,DIV,"Mecklenburg County Public Schools","Students with Disabilities",10,<,<
2018,DIV,"Mecklenburg County Public Schools",White,144,99,69
2018,DIV,"Middlesex County Public Schools","All Students",92,40,43
2018,DIV,"Middlesex County Public Schools",Black,10,<,<
2018,DIV,"Middlesex County Public Schools","Economically Disadvantaged",39,11,28
2018,DIV,"Middlesex County Public Schools",Female,44,25,57
2018,DIV,"Middlesex County Public Schools",Hispanic,<,<,<
2018,DIV,"Middlesex County Public Schools",Male,48,15,31
2018,DIV,"Middlesex County Public Schools","Multiple Races",<,<,<
2018,DIV,"Middlesex County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Middlesex County Public Schools",White,77,35,45
2018,DIV,"Montgomery County Public Schools","All Students",694,529,76
2018,DIV,"Montgomery County Public Schools","American Indian",<,<,<
2018,DIV,"Montgomery County Public Schools",Asian,19,16,84
2018,DIV,"Montgomery County Public Schools",Black,31,26,84
2018,DIV,"Montgomery County Public Schools","Economically Disadvantaged",182,99,54
2018,DIV,"Montgomery County Public Schools","English Learners",13,<,<
2018,DIV,"Montgomery County Public Schools",Female,324,262,81
2018,DIV,"Montgomery County Public Schools",Hispanic,23,14,61
2018,DIV,"Montgomery County Public Schools",Male,370,267,72
2018,DIV,"Montgomery County Public Schools","Multiple Races",30,24,80
2018,DIV,"Montgomery County Public Schools","Students with Disabilities",30,13,43
2018,DIV,"Montgomery County Public Schools",White,588,448,76
2018,DIV,"Nelson County Public Schools","All Students",139,63,45
2018,DIV,"Nelson County Public Schools",Asian,<,<,<
2018,DIV,"Nelson County Public Schools",Black,19,10,53
2018,DIV,"Nelson County Public Schools","Economically Disadvantaged",63,22,35
2018,DIV,"Nelson County Public Schools",Female,70,47,67
2018,DIV,"Nelson County Public Schools",Hispanic,<,<,<
2018,DIV,"Nelson County Public Schools",Male,69,16,23
2018,DIV,"Nelson County Public Schools","Multiple Races",<,<,<
2018,DIV,"Nelson County Public Schools","Students with Disabilities",11,<,<
2018,DIV,"Nelson County Public Schools",White,107,51,48
2018,DIV,"New Kent County Public Schools","All Students",204,122,60
2018,DIV,"New Kent County Public Schools","American Indian",<,<,<
2018,DIV,"New Kent County Public Schools",Asian,<,<,<
2018,DIV,"New Kent County Public Schools",Black,19,11,58
2018,DIV,"New Kent County Public Schools","Economically Disadvantaged",37,18,49
2018,DIV,"New Kent County Public Schools",Female,82,63,77
2018,DIV,"New Kent County Public Schools",Hispanic,<,<,<
2018,DIV,"New Kent County Public Schools",Male,122,59,48
2018,DIV,"New Kent County Public Schools","Multiple Races",<,<,<
2018,DIV,"New Kent County Public Schools","Students with Disabilities",10,<,<
2018,DIV,"New Kent County Public Schools",White,162,94,58
2018,DIV,"Newport News City Public Schools","All Students",1708,898,53
2018,DIV,"Newport News City Public Schools","American Indian",<,<,<
2018,DIV,"Newport News City Public Schools",Asian,50,42,84
2018,DIV,"Newport News City Public Schools",Black,947,466,49
2018,DIV,"Newport News City Public Schools","Economically Disadvantaged",715,302,42
2018,DIV,"Newport News City Public Schools","English Learners",37,17,46
2018,DIV,"Newport News City Public Schools",Female,922,558,61
2018,DIV,"Newport News City Public Schools",Hispanic,176,88,50
2018,DIV,"Newport News City Public Schools",Male,786,340,43
2018,DIV,"Newport News City Public Schools","Multiple Races",65,32,49
2018,DIV,"Newport News City Public Schools","Native Hawaiian",<,<,<
